"","nodes","rates"
"1",1,0.889243
"2",2,0.946236
"3",3,0.605398
"4",4,0.207337
"5",5,0.175663
"6",6,0.52669
"7",7,0.254712
"8",8,0.202307
"9",9,0.327183
"10",10,0.116451
"11",11,0.138821
"12",12,0.154444
"13",13,0.148095
"14",14,0.177222
"15",15,0.016399
"16",16,0.031496
"17",17,0.008408
"18",18,0.001515
"19",19,0.160016
"20",20,0.321059
"21",21,0.176546
"22",22,0.093165
"23",23,0.162945
"24",24,0.067444
"25",25,0.063321
"26",26,0.075282
"27",27,0.108785
"28",28,0.079649
"29",29,0.035211
"30",30,0.371267
"31",31,0.541888
"32",32,0.311272
"33",33,1.321172
"34",34,1.253973
"35",35,1.25796
"36",36,1.0019
"37",37,0.681605
"38",38,0.678679
"39",39,0.699334
"40",40,0.676523
"41",41,1
"42",42,0.753798
"43",43,0.459757
"44",44,0.401649
"45",45,0.372967
"46",46,0.346371
"47",47,0.246742
"48",48,0.199369
"49",49,0.187891
"50",50,0.18172
"51",51,0.358762
"52",52,0.306122
"53",53,0.18728
"54",54,0.078445
"55",55,0.040259
"56",56,0.030275
"57",57,0.224107
"58",58,0.354319
"59",59,0.342898
"60",60,0.232329
"61",61,0.232339
"62",62,0.242922
"63",63,0.146312
"64",64,0.292505
"65",65,0.300612
"66",66,0.218425
"67",67,0.137594
"68",68,0.088199
"69",69,0.940714
"70",70,1.292369
"71",71,1.266315
"72",72,1.127085
"73",73,0.861004
"74",74,0.705848
"75",75,0.692675
"76",76,0.967606
"77",77,0.917186
"78",78,0.764351
"79",79,0.419165
