clade,nodes,rates1,rates2,rates3,rates4
EarlyStemPenguins,1,0.016803356,0.012172941,0.048944296,0.036579657
EarlyStemPenguins,2,0.017829657,0.011813498,0.049857473,0.037461882
EarlyStemPenguins,58,0.024049466,0.012638528,0.049957348,0.037412107
CrownPenguins,3,0.019134,0.010178246,0.051453746,0.048924643
CrownPenguins,4,0.013192878,0.010169638,0.049966876,0.043256685
CrownPenguins,74,0.025423669,0.014190017,0.051271945,0.035128235
CrownPenguins,5,0.015987442,0.01206238,0.050393074,0.036710174
CrownPenguins,73,0.017323337,0.012865881,0.050276444,0.032585743
CrownPenguins,6,0.006923022,0.012450004,0.050055343,0.036191085
CrownPenguins,7,0.015970657,0.012115555,0.050381444,0.037399655
CrownPenguins,8,0.023985221,0.012132646,0.051839888,0.036673866
CrownPenguins,76,0.008315587,0.010853335,0.049591085,0.063817546
CrownPenguins,75,0.021163641,0.012059951,0.06061641,0.035752883
CrownPenguins,72,0.022741226,0.014933996,0.049750401,0.032751756
CrownPenguins,9,0.012299156,0.012019916,0.049582286,0.03764242
CrownPenguins,10,0.012591405,0.012158626,0.049660605,0.036856574
CrownPenguins,82,0.012711422,0.012349719,0.048952432,0.040132605
CrownPenguins,11,0.012554489,0.012171217,0.050620921,0.036101229
CrownPenguins,81,0.009442772,0.011933453,0.047770837,0.046494065
CrownPenguins,12,0.010169331,0.012079412,0.049892568,0.037264623
CrownPenguins,13,0.010556619,0.012260335,0.050880592,0.037187992
CrownPenguins,84,0.011088921,0.012429486,0.046786757,0.03929041
CrownPenguins,14,0.014540948,0.011912427,0.050436143,0.046142793
CrownPenguins,15,0.016522393,0.011339749,0.048439418,0.030045955
CrownPenguins,86,0.011223459,0.010790174,0.050876197,0.046124293
CrownPenguins,16,0.010546857,0.012601452,0.050290342,0.032392206
CrownPenguins,85,0.022323605,0.011373103,0.051210407,0.035459886
CrownPenguins,83,0.01574111,0.011647727,0.04883066,0.038105094
CrownPenguins,80,0.012098368,0.014255569,0.050259523,0.030213195
CrownPenguins,17,0.010639977,0.011481788,0.047387372,0.039328857
CrownPenguins,79,0.014179715,0.010574871,0.051923754,0.024754656
CrownPenguins,18,0.019502879,0.011955968,0.04797608,0.037169952
CrownPenguins,78,0.017218951,0.013086102,0.051296024,0.030912129
CrownPenguins,19,0.009869523,0.012115893,0.048036957,0.043005915
CrownPenguins,20,0.007540833,0.013762939,0.049907478,0.044879087
CrownPenguins,21,0.010878243,0.01052699,0.05195992,0.032904807
CrownPenguins,91,0.012534594,0.013299613,0.048707105,0.030605124
CrownPenguins,22,0.00717751,0.009838238,0.047409558,0.025158509
CrownPenguins,23,0.010522939,0.012360668,0.051143678,0.036759592
CrownPenguins,92,0.014224598,0.012754577,0.049962452,0.031363358
CrownPenguins,90,0.015625625,0.012472823,0.049165034,0.019203335
CrownPenguins,24,0.017564708,0.012618877,0.053110873,0.037008515
