clade,nodes,rates1,rates2,rates3,rates4
EarlyStemPenguins,1,0.01059049,0.011423728,0.04521063,0.032147912
EarlyStemPenguins,2,0.011270668,0.011171877,0.045584987,0.032973376
EarlyStemPenguins,58,0.012523201,0.011432361,0.04487146,0.031196147
CrownPenguins,3,0.014932791,0.01009941,0.046263377,0.04521892
CrownPenguins,4,0.010502195,0.010085853,0.045379963,0.039084239
CrownPenguins,74,0.02065022,0.01301775,0.045228832,0.033732228
CrownPenguins,5,0.01070943,0.011234243,0.045802007,0.032686504
CrownPenguins,73,0.012750301,0.011412728,0.046741712,0.030517036
CrownPenguins,6,0.005785051,0.011613777,0.045029341,0.031856153
CrownPenguins,7,0.013646132,0.01143196,0.045618924,0.032902842
CrownPenguins,8,0.020777635,0.01138658,0.045803723,0.032445567
CrownPenguins,76,0.006548608,0.01051792,0.044975639,0.05754726
CrownPenguins,75,0.016107674,0.011519996,0.049097798,0.033890876
CrownPenguins,72,0.015746668,0.013006666,0.045115241,0.030952815
CrownPenguins,9,0.008484786,0.011286784,0.044891185,0.033154029
CrownPenguins,10,0.008434474,0.011210091,0.044837019,0.031905857
CrownPenguins,82,0.009217299,0.011683366,0.045097158,0.035591255
CrownPenguins,11,0.009775847,0.01143804,0.045306465,0.032123374
CrownPenguins,81,0.007483318,0.011291427,0.04430578,0.04126395
CrownPenguins,12,0.007913397,0.011354152,0.04497908,0.033118855
CrownPenguins,13,0.008147562,0.011412693,0.045135066,0.032534483
CrownPenguins,84,0.009306588,0.011780129,0.043917936,0.036718158
CrownPenguins,14,0.010970993,0.01124221,0.045591232,0.040731831
CrownPenguins,15,0.012875395,0.010959346,0.045057456,0.028148596
CrownPenguins,86,0.008941876,0.010623778,0.045773288,0.041778955
CrownPenguins,16,0.008778819,0.011507462,0.044954693,0.029680748
CrownPenguins,85,0.014149695,0.011099039,0.046888463,0.031953142
CrownPenguins,83,0.011489717,0.011317484,0.043984854,0.032506131
CrownPenguins,80,0.009856128,0.012664483,0.045171661,0.029117134
CrownPenguins,17,0.009437231,0.011085571,0.043884083,0.03582371
CrownPenguins,79,0.011305661,0.010351302,0.046266002,0.024312323
CrownPenguins,18,0.011715033,0.011364223,0.044963589,0.034262552
CrownPenguins,78,0.012343521,0.011494622,0.045269854,0.027970697
CrownPenguins,19,0.008781809,0.011454676,0.04446029,0.039393064
CrownPenguins,20,0.006047462,0.012264027,0.04531109,0.041351443
CrownPenguins,21,0.008967178,0.01041503,0.045720874,0.030382789
CrownPenguins,91,0.00937704,0.012023738,0.045096434,0.028863869
CrownPenguins,22,0.005682948,0.009559367,0.0444652,0.025135571
CrownPenguins,23,0.008576684,0.011396135,0.045465327,0.031886837
