"","parameter","Time_bin","n","mean","sd","min","Q1","median","Q3","max"
"1","net_speciation","1",1000,0.04,0.02,0,0.03,0.04,0.06,0.11
"2","net_speciation","2",1000,0.03,0.02,0,0.02,0.03,0.04,0.11
"3","net_speciation","3",1000,0.02,0.01,0,0.01,0.02,0.03,0.08
"4","net_speciation","4",1000,0.05,0.02,0,0.03,0.05,0.06,0.11
"5","relative_extinction","1",1000,0.78,0.15,0.08,0.71,0.81,0.9,1
"6","relative_extinction","2",1000,0.93,0.05,0.72,0.9,0.94,0.96,1
"7","relative_extinction","3",1000,0.95,0.05,0.62,0.93,0.96,0.98,1
"8","relative_extinction","4",1000,0.03,0.1,0,0,0,0.01,0.84
"9","relative_fossilization","1",1000,0.04,0.06,0,0.01,0.02,0.05,0.6
"10","relative_fossilization","2",1000,0.07,0.04,0,0.04,0.06,0.09,0.33
"11","relative_fossilization","3",1000,0.01,0.02,0,0,0.01,0.02,0.19
"12","relative_fossilization","4",1000,0.04,0.11,0,0,0,0.01,0.76
