"","clade","clock","n","mean","sd","min","Q1","median","Q3","max"
"1","CrownPenguins","1",47,0.012,0.004,0.006,0.009,0.011,0.013,0.024
"2","EarlyStemPenguins","1",39,0.011,0.004,0.008,0.01,0.011,0.011,0.035
"3","LateStemPenguins","1",22,0.015,0.015,0.007,0.01,0.011,0.012,0.081
"4","CrownPenguins","2",47,0.011,0.001,0.01,0.011,0.011,0.012,0.013
"5","EarlyStemPenguins","2",39,0.012,0.001,0.01,0.011,0.011,0.012,0.013
"6","LateStemPenguins","2",22,0.012,0.001,0.011,0.011,0.011,0.012,0.014
"7","CrownPenguins","3",47,0.045,0.001,0.043,0.045,0.045,0.046,0.051
"8","EarlyStemPenguins","3",39,0.046,0.003,0.038,0.045,0.045,0.046,0.062
"9","LateStemPenguins","3",22,0.045,0.002,0.04,0.045,0.045,0.046,0.052
"10","CrownPenguins","4",47,0.033,0.006,0.019,0.029,0.032,0.034,0.058
"11","EarlyStemPenguins","4",39,0.034,0.004,0.026,0.032,0.033,0.033,0.047
"12","LateStemPenguins","4",22,0.032,0.002,0.025,0.032,0.032,0.033,0.036
